Name,Price,Size
MRTSriLasalle,17000,
MRTYaekFaiChai,11000,
MRTYaekFaiChai,11000,29 
MRTท่าพระยูนิโอจรัญ,7000,28 
MRTบางโพคอนโดเดอะทรีบางโพlTheTreeBangpo,10000,30 
MRTวงศ์สว่างคอนโดเดอะไลน์วงศ์สว่างTheLineWongsawang,12000,
MRTวงศ์สว่างคอนโดเดอะไลน์วงศ์สว่างTheLineWongsawang,12000,29 
MuniqSukhumvit,100000,
MyCondoSukhumvit,15000,35 
UNKNOWN NAME,Price,Size
คอนโดLIFEพหลโยธิน-ลาดพร้าวขนาด,27000,35 
NIABySansiri,13000,23 
NicheMonoRatchaviphaนิชโมโนรัชวิภา,9500,30 
NicheMonoSukhumvit-Bearingคอนโดใกล้BTSแบริ่ง,10000,28.5 
NobleAboveWireless-Ruamrudee,60000,95 
NobleB,52000,
NobleBe,42000,
NobleBE,32000,41 
NobleBE,33000,
NoblePloenchit,220000,180.61 
NobleReformติดBTSอารีย์,33000,
NobleReformNearBTSAri,33000,
NoblereformติดBTSอารีย์,33000,
NobleRemixSukhumvit,100000,121.42 
NobleState,31000,
NobleStateSukhumvit,35000,
NUECOREKHUKHOTSTATION,7500,23 
NuenobleSrinakarinนิวโนเบิลศรีนครินทร์-ลาซาลสถานีศรีลาซาล,11000,27 
NyebySansiri,18000,32 
CondoletteIzeRatchathewi,20000,30 
One,40000,41 
One,40000,42 
Onyxออนิกซ์พหลสะพานควายใกล้BTS,18000,40 
OriginPlug&PlayNonthaburiStationใกล้MRTแยกนนทบุรีสะพานพระนั่งเกล้า,15000,
OriginPlug&PlayNonthaburiStationใกล้MRTแยกนนทบุรีสะพานพระนั่งเกล้า,15000,27 
UNKNOWN NAME,25000,
UNKNOWN NAME,15000,
ไนท์บริด์พหลโยธินอินเตอร์เชนจ์ใกล้btsวัดพระศรี,14000,30 
คอนโดเดอลาพีสจรัญ,13000,34.84 
คอนโดQuintaraPhumeSukhumvit,21000,34.85 
OriginPlug&PlayRamkhamhaengTripleStationsรามคำแหง,17000,34 
ParkOriginThonglorparkoriginthongloral,30000,32
MJatujak,22000,
PetfriendlyReadytomoveinProjectMaestro,23000,
PGRama,2290000,29 
LifeonewirelessCondo,25000,28 
XTHuaikhwangNearMRTHuaiKhwang,18000,30 
XTHuaikhwang,18000,
QasokecondoclosetoMRTPhetburi,20000,
REACHPhahonYothin,8800,
RegalSathon-Naradhiwas,18000,33 
RegenthomeBangson,8500,28 
RegentHomeSukhumvit,9000,
RegentHome,7000,32 
RegentHome,47000,32 
ThePolitanAqua,15000,31 
LaviqCondo,170000,114 
RhythmEkkamaiCondoNearEkkamaiBTSStation​LocationRhythmEkkamai,39000,35 
RhythmratchadaHuaikwangติดMrtห้วยขวางNexttoMRTHuaikwang-,22000thb,45 
RHYTHMRATCHADAคอนโดริธึ่มรัชดาซอยรัชดา,20000,47.7 
RhythmSathornNearBTSofTaksinBridgeStation,20000,35 
RhythmSukhumvit,19000,36 
RhythmSukhumvit,60000,
RHYTHMsukhumvit,15500,24 
SaribySansiriBTSPunnawithi,15000,35 
Siamese,80000,136.38 
SiameseThirtyNineSukhumvit,80000,136.38 
SkyWalkResidenceสกายวอร์คเรสซิเดนซ์สถานีรถไฟฟ้าพระโขนง,37000,59 
SkyriseAvenueSukhumvit,28000,
SohoBangkokRatchadaคอนโดใหม่ใจกลางเมืองMRTห้วยขวาง,17000,26
SupalaiCutePhaholyothin,11000,40 
SupalaiCuteRatchayothin-Phaholyothin,12000,45.5 
SupalaiOrientalSukhumvit,24000,50 
SupalaiParkTalatPhluStation,14000,36.6 
SupalaiVerandaRamkhamhangMRTYakeLamsali,13000,30 
SuphalaiverandaSukhumvit,22000,65 
SVCityRama,28000,112 
TEALSathorn-Taksin,13500,35 
ThanaAstoriaPinklao,13000,30 
TheAddressChidlomคอนโดดิแอดเดรสชิดลมอยู่ในซอยสมคิดใกล้BTSชิดลมและเซ็นทรัลชิดลม,23000,40 
TheAddressPathumwanCD,35000,
THEBASESaphanmaiติดBTSสายหยุด,12500,28 
TheBaseSukhumvit,13000,27 
TheIssaraLadpraoForLocationLadprao,25000,
TheKeyMRTPhetkasem,13500,28 
THELINEJatujak-Mochitเดอะไลน์จตุจักร-หมอชิต,50000,66 
THELINEJatujak-Mochitเดอะไลน์จตุจักร-หมอชิต,17000,
thelinephaholyothinparkเดอะไลน์พหลโยธินพาร์ค,20000,
THELINEPhahon-Pradipatเดอะไลน์พหลฯ-ประดิพัทธ์,20000,34 
THELINEPhahonyothinParkใกล้BTSห้าแยกลาดพร้าว,18000,32.5 
TheLumpini,53000,56 
THEMUVEเดอะมูฟราม,8999,25 
TheNextGardenMixBTSOnnut,20000,
TheNicheTaksinเดอะนิชตากสิน-วงเวียนใหญ่ชั้น,14000,41 
ThePanoRama,24000,65 
TheParklandPhetkasem,17000,31 
ThePrivacyJatujakเดอะไพรเวซี่จตุจักร,16000,27 
ThePrivacyJatujakเดอะไพรเวซี่จตุจักร,16000,
ThePrivacyJatujakเดอะไพรเวซี่จตุจักร,15999,31 
ThePrivacyJatujak,16000,27 
ThePrivacyS,14000,27 
ThePrivacyS,13000,
TheRemarkAbleRama,25000,58 
TheReservePhahon-Pradipatal,22000,28.40 
TheReserveSathorn,61500,57 
ThetempograndWutthakatเดอะเทมโปแกรนด์วุฒากาศBtsวุฒากาศThetempoเดอะเทมโปวุฒากาศ,12000,
ThetreeRiobangaorStationMRT,12000,32 
TheTreeRioBangaorStationคอนโดติดMRTบางอ้อ,12000,32 
TS,13000,26.00 
UDelightResidenceRiverfrontRama,25000,56 
UcharoenResidenceTowninTown,27000,52 
UnioSukhumvit,20000,
WhizdomEssenceBTSPunnawithi​SwimmingPoolViewCornerRoom,25000,
Whizdom@PunnawithiStationวิชดอมปุณณวิถีBTSปุณณวิถี,20000,65 
WishSignatureMidtownSiam,22000,26.65 
WishSignatureMidtownSiam,23000,
XThuaikwang​เอ็กซ์ทีห้วยขวาง,18000,35 
Youhavetoseethepriceofthisoneona,40000,74 
ใกล้BTSสะพานควายคอนโดเดอะไลน์พหล-ประดิพัทธ์ว่างสิ้นเดือนกพ,20000,34 
ใกล้BTSสะพานควายและหมอชิตMRTจตุจักรคอนโดน็อตติงฮิลล์จตุจักรอินเตอร์เชนจ์NottingHillJatujakInterchangeซอยพหล,19000,33 
ใกล้BTSเสนานิคมคอนโดเอลลิโอเดลมอสพหลโยธิน,9500,26 
ใกล้BTSเสนานิคมเกษตรคอนโดเคฟซี้ดเกษตรKaveSeedKaset,12000,26 
ใกล้BTSห้าแยกลาดพร้าวคอนโดเดอะไลน์พหลโยธินพาร์คTHELINEPhahonyothinPark,18000,32.5 
ใกล้BTSห้าแยกลาดพร้าวคอนโดไลฟ์พหลฯ-ลาดพร้าวLifePhahon-LadpraoStudio,18000,29 
ใกล้MRTเตาปูนคอนโดเดอะสเตจเตาปูนTheStageTaopoon,12000,26 
ใกล้MRTวงศ์สว่างคอนโดเดอะไลน์วงศ์สว่างTheLineWongsawang,12000,32 
ใกล้MRTวงศ์สว่างคอนโดเดอะไลน์วงศ์สว่างTheLineWongsawang,12000,28.93 
ใกล้MRTสุทธิสาร,17000,29 
ใกล้SRTสถานีบางเขนคอนโดวันเดอร์เกษตร,13500,28 
ใกล้เดอะมอลล์งามวงศ์วานมเกษตรแอสปายงามวงศ์วานAspireNgamwongwan,8500,
LifeAsokeHypeไลฟ์อโศกไฮป์ใหม่ไม่เคย,24000,33 
พลัมคอนโดเซ็นทรัลสเตชั่นเฟส,16500,48.78 
คอนโด𝗡𝗼𝘁𝘁𝗶𝗻𝗴𝗛𝗶𝗹𝗹𝗦𝘂𝗸𝗵𝘂𝗺𝘃𝗶𝘁𝟭𝟬𝟱,12000,30.18 
คอนโดไอดีโอโมบิบางซื่อแกรนด์อินเตอร์เชนจ์ติดMRTสถานีเตาปูนเขตบางซื่อกรุงเทพฯ-ขนาด,13000,27 
คอนโด”รอยัลไนน์เรสซิเดนท์”ย่านพระรามเก้าชั้น,25000,96 
คอนโดTHEFINE@Riverเดอะฟายน์แอทริเวอร์,19000,61.5 
WeCondoEkkamai-Ramindra,8500,
คอนโดไนท์บริดจ์สเปซรัชโยธินติดบีทีเอสพหลโยธิน,27000,
คอนโดไนท์บริดไพร์มสาทรknightsbridgeprimesathorn,17000,25 
คอนโดติดBTS+วิวแม่น้ำชั้น,8000,
